"time [s]"," distance [m]"," watts [W]"," heartrate [bpm]"," cadence [rpm]"," velocity_smooth [m/s]"," altitude [msnm]"
"1949","7025.4","0","170","0","9.182","2720.4"
"1950","7034.2","0","170","0","9.17","2720.2"
"1951","7040.6","0","170","4","8.654","2720"
"1952","7047.3","352","170","108","8.134","2720"
"1953","7053.2","376","170","96","7.792","2720"
"1954","7058.8","376","171","96","6.68","2720"
"1955","7064.5","376","171","90","6.062","2720"
"1956","7071.2","265","171","90","6.116","2720.4"
"1957","7075.4","255","171","94","5.618","2720.8"
"1958","7082.5","222","172","94","5.866","2721"
"1959","7089.2","203","172","99","6.09","2721.4"
"1960","7095.9","248","170","100","6.264","2721.6"
"1961","7101.1","199","169","100","5.99","2721.6"
"1962","7107.5","174","169","101","6.422","2721.8"
"1963","7114.9","193","170","101","6.478","2722"
"1964","7120.1","198","171","99","6.164","2722.2"
"1965","7126.2","282","171","98","6.068","2722.4"
"1966","7132","233","171","102","6.178","2722.6"
"1967","7136.9","227","171","92","5.886","2722.6"
"1968","7142.2","246","171","91","5.454","2723"
"1969","7147.4","224","171","89","5.46","2723.2"
"1970","7152.8","255","170","85","5.314","2723.6"
"1971","7158.2","377","171","85","5.242","2724"
"1972","7164.5","377","170","91","5.518","2724.4"
"1973","7169.6","425","170","98","5.48","2724.8"
"1974","7174.7","400","173","100","5.46","2725.2"
"1975","7179.9","323","174","98","5.426","2725.4"
"1976","7185.2","242","175","96","5.384","2725.8"
"1977","7191.4","210","175","97","5.376","2726"
"1978","7195.7","251","175","96","5.232","2726.4"
"1979","7200.9","242","175","96","5.244","2726.6"
"1980","7206.3","204","174","97","5.274","2727"
"1981","7212.7","230","175","95","5.51","2727.2"
"1982","7216.9","259","175","93","5.102","2727.4"
"1983","7222.4","252","175","90","5.34","2727.6"
"1984","7227.5","263","176","89","5.316","2727.8"
"1985","7232.2","296","176","89","5.19","2728.2"
"1986","7236.5","296","176","84","4.76","2728.4"
"1987","7240.9","240","176","83","4.788","2728.6"
"1988","7245.3","270","176","83","4.57","2728.8"
"1989","7249.4","270","176","81","4.394","2729"
"1990","7253.7","248","176","82","4.294","2729"
"1991","7258.1","228","175","86","4.314","2729.6"
"1992","7262.9","210","176","86","4.414","2729.8"
"1993","7268","254","176","85","4.548","2730"
"1994","7273.1","239","176","88","4.744","2730.2"
"1995","7278.1","235","176","87","4.882","2730.4"
"1996","7283.1","244","176","89","4.998","2730.4"
"1997","7287.8","234","177","85","4.976","2730.4"
"1998","7292.6","188","177","87","4.91","2730.8"
"1999","7298.6","207","178","85","5.086","2731.2"
"2000","7302.8","184","178","85","4.93","2731.4"
"2001","7307.7","184","179","86","4.93","2731.6"
"2002","7312.3","197","179","86","4.89","2731.8"
"2003","7316.9","197","180","86","4.862","2732"
"2004","7321.3","183","179","86","4.538","2732.4"
"2005","7325.7","189","180","87","4.594","2732.6"
"2006","7330.6","271","180","90","4.576","2732.8"
"2007","7335.7","211","180","89","4.694","2733"
"2008","7340.8","166","179","85","4.788","2733"
"2009","7346.1","266","178","87","4.974","2733.4"
"2010","7351.3","160","179","88","5.106","2733.6"
"2011","7356.3","188","179","88","5.14","2733.8"
"2012","7361.3","206","178","85","5.106","2734"
"2013","7366.2","226","179","86","5.082","2734"
"2014","7371","229","178","84","4.974","2734.4"
"2015","7375.7","204","177","83","4.896","2734.4"
"2016","7380.6","252","177","84","4.864","2734.6"
"2017","7385.4","201","178","84","4.826","2735"
"2018","7390.1","203","178","84","4.784","2735"
"2019","7394.8","195","178","83","4.75","2735.2"
"2020","7399.4","166","180","86","4.732","2735.8"
"2021","7404.1","151","179","82","4.688","2736"
"2022","7408.7","166","179","83","4.666","2736.2"
"2023","7413","185","180","77","4.578","2736.4"
"2024","7417.2","240","179","73","4.482","2736.6"
"2025","7421.1","258","179","74","4.348","2736.6"
"2026","7425.2","237","180","68","4.226","2737"
"2027","7429","237","179","69","4.056","2737.2"
"2028","7432.9","255","180","71","3.974","2737.6"
"2029","7437","241","181","80","3.956","2737.8"
"2030","7441.2","204","181","87","4.014","2737.8"
"2031","7445.6","162","179","88","4.088","2738"
"2032","7450.9","170","180","89","4.382","2738.2"
"2033","7455.5","178","179","85","4.518","2738.2"
"2034","7460","202","178","86","4.608","2738.4"
"2035","7464.7","189","179","93","4.706","2738.6"
"2036","7469.5","129","179","91","4.78","2738.8"
"2037","7474.3","195","178","90","4.688","2739.2"
"2038","7479.2","194","178","87","4.74","2739.4"
"2039","7484","186","178","92","4.81","2739.4"
"2040","7489","232","178","92","4.858","2739.8"
"2041","7494.1","322","176","90","4.92","2740"
"2042","7498.9","336","177","94","4.92","2740.2"
"2043","7503.5","234","177","91","4.854","2740.2"
"2044","7508.4","244","178","91","4.862","2740.2"
"2045","7510.7","233","178","86","4.334","2740.4"
"2046","7513","248","178","88","3.784","2740.6"
"2047","7521.7","213","178","88","4.55","2741"
"2048","7527.6","212","177","88","4.828","2741.4"
"2049","7532.4","167","177","84","4.808","2741.8"
"2050","7537.2","217","177","87","5.298","2742"
"2051","7541.8","249","175","83","5.742","2742"
"2052","7546.4","235","178","86","4.95","2742.2"
"2053","7551.3","187","176","86","4.742","2742.2"
"2054","7556.1","167","178","81","4.744","2742.4"
"2055","7560.5","185","178","80","4.658","2742.6"
"2056","7564.3","241","179","79","4.506","2742.8"
"2057","7568.3","271","179","77","4.362","2743"
"2058","7572.1","307","180","72","4.166","2743"
"2059","7575.7","318","179","71","3.926","2743.4"
"2060","7579.8","270","179","71","3.864","2743.8"
"2061","7583.9","260","179","76","3.916","2744.2"
"2062","7588.1","267","179","77","3.962","2744.4"
"2063","7592.2","296","180","81","4.01","2744.6"
"2064","7596.5","284","180","77","4.142","2744.8"
"2065","7600.4","268","179","76","4.12","2745"
"2066","7604.2","344","179","77","4.062","2745.2"
"2067","7607.8","309","180","78","3.938","2745.8"
"2068","7611.6","270","178","78","3.874","2746"
"2069","7615.2","247","178","73","3.758","2746.2"
"2070","7618.9","233","179","72","3.702","2746.4"
"2071","7622.5","248","179","77","3.666","2746.4"
"2072","7626.3","242","179","72","3.708","2746.6"
"2073","7629.7","263","179","72","3.63","2747"
"2074","7633.1","245","180","69","3.57","2747.2"
"2075","7636.2","261","178","71","3.456","2747.4"
"2076","7639.4","276","177","71","3.374","2747.6"
"2077","7643","277","178","73","3.348","2747.8"
"2078","7646.8","289","178","72","3.414","2748"
"2079","7650.2","249","178","70","3.414","2748.4"
"2080","7653.4","241","179","66","3.45","2748.8"
"2081","7657","303","180","69","3.534","2749"
"2082","7660.4","305","179","67","3.482","2749.2"
"2083","7663.9","222","180","71","3.416","2749.6"
"2084","7667.3","215","180","68","3.436","2749.8"
"2085","7670.6","275","181","73","3.428","2750.2"
"2086","7673.8","202","181","74","3.352","2750.4"
"2087","7677.2","206","180","72","3.346","2750.6"
"2088","7680.9","178","180","69","3.404","2751"
"2089","7684.7","224","180","73","3.476","2751.2"
"2090","7689","195","180","73","3.676","2751.2"
"2091","7692.2","195","180","78","3.674","2751.2"
"2092","7696.1","169","179","76","3.784","2751.6"
"2093","7699.3","166","180","78","3.69","2751.6"
"2094","7703.1","231","180","72","3.684","2751.8"
"2095","7706.8","227","181","75","3.574","2752.4"
"2096","7710.6","192","181","74","3.684","2752.8"
"2097","7714","168","179","71","3.59","2753"
"2098","7716.9","235","180","68","3.518","2753"
"2099","7720","241","180","74","3.38","2753.2"
"2100","7723.3","198","179","69","3.302","2753.2"
"2101","7727","234","180","72","3.284","2753.2"
"2102","7731.6","221","181","65","3.514","2753.2"
"2103","7735.5","226","181","67","3.712","2753.6"
"2104","7739.3","170","181","66","3.85","2753.8"
"2105","7742.5","192","181","65","3.832","2754"
"2106","7744.5","241","181","67","3.506","2754"
"2107","7747.9","206","181","69","3.252","2754"
"2108","7751.2","220","181","71","3.152","2754"
"2109","7754.8","174","181","70","3.094","2754.2"
"2110","7757.8","286","181","73","3.064","2754.4"
"2111","7761.1","219","181","80","3.308","2754.4"
"2112","7764.4","140","181","79","3.3","2754.6"
"2113","7767.6","94","180","76","3.274","2754.8"
"2114","7771","133","181","74","3.246","2755"
"2115","7774.1","202","181","74","3.248","2755.2"
"2116","7776.8","202","181","73","3.148","2755.4"
"2117","7779.9","172","181","74","3.096","2755.6"
"2118","7783","200","181","74","3.07","2755.8"
"2119","7785.9","235","181","77","2.972","2756.2"
"2120","7789.2","300","181","84","3.034","2756.4"
"2121","7793.5","249","181","87","3.33","2756.8"
"2122","7798.1","179","181","88","3.642","2757"
"2123","7802.6","182","180","88","3.93","2757"
"2124","7806.9","202","180","89","4.204","2757"
"2125","7810.7","173","179","92","4.286","2757.2"
"2126","7814.7","150","178","93","4.246","2757.4"
"2127","7819","145","179","92","4.192","2757.6"
"2128","7823.3","143","178","92","4.13","2757.8"
"2129","7827.3","155","178","89","4.09","2758"
"2130","7831.7","160","178","88","4.212","2758.2"
"2131","7835.8","174","179","85","4.214","2758.4"
"2132","7840.3","187","179","85","4.254","2758.6"
"2133","7844.8","187","178","85","4.316","2758.6"
"2134","7849.7","211","179","90","4.482","2758.6"
"2135","7853.8","180","179","88","4.406","2758.8"
"2136","7858.6","203","178","90","4.566","2759"
"2137","7862.4","237","178","91","4.424","2759"
"2138","7866.9","286","179","94","4.408","2759.2"
"2139","7871.8","200","180","97","4.408","2759.6"
"2140","7876.5","204","180","97","4.558","2760"
"2141","7881.5","164","178","98","4.588","2760.2"
"2142","7886.5","153","180","89","4.814","2760.4"
"2143","7891.2","172","179","90","4.864","2760.4"
"2144","7896","149","178","90","4.842","2760.6"
"2145","7900.3","176","179","87","4.748","2760.6"
"2146","7904.6","186","178","84","4.614","2760.8"
"2147","7908.7","219","178","85","4.45","2761"
"2148","7913","199","178","87","4.366","2761.2"
"2149","7917.5","171","178","86","4.294","2761.4"
"2150","7921.5","199","178","85","4.242","2761.6"
"2151","7925.2","206","178","84","4.12","2761.8"
"2152","7929.1","174","180","84","4.066","2762.2"
"2153","7933.3","217","178","83","4.062","2762.4"
"2154","7937.3","190","178","85","3.968","2762.6"
"2155","7940.9","205","178","85","3.884","2762.6"
"2156","7944.9","199","178","85","3.932","2762.8"
"2157","7948.8","194","178","86","3.94","2762.8"
